load,threads,events_seconds_mean,events_seconds_std,events_seconds_ci_lower,events_seconds_ci_upper,latency_min_mean,latency_min_std,latency_min_ci_lower,latency_min_ci_upper,latency_avg_mean,latency_avg_std,latency_avg_ci_lower,latency_avg_ci_upper,latency_max_mean,latency_max_std,latency_max_ci_lower,latency_max_ci_upper,latency_95th_mean,latency_95th_std,latency_95th_ci_lower,latency_95th_ci_upper
12500,1,1040.078,9.0267965524875,1028.8697517016665,1051.2862482983335,0.932,0.009797958971132666,0.919834227089667,0.9441657729103331,0.96,0.008944271909999166,0.9488942195792087,0.9711057804207912,2.232,0.7177576192559714,1.3407862047334143,3.123213795266586,1.0059999999999998,0.008000000000000007,0.9960666880143696,1.01593331198563
25000,1,406.338,1.72974448980189,404.19023854092165,408.4857614590784,2.386,0.028,2.3512334080502946,2.4207665919497057,2.46,0.010954451150103251,2.446398252386835,2.473601747613165,3.8340000000000005,0.8654848352224319,2.759358639112988,4.908641360887013,2.57,0.0,2.57,2.57
37500,1,232.398,2.6486328548894784,229.10928793962407,235.68671206037592,4.144,0.0332264954516723,4.102743856811178,4.185256143188822,4.304,0.04715930449020647,4.2454439894341816,4.362556010565819,7.545999999999999,2.7487349817688864,4.132994732534287,10.959005267465713,4.49,0.0,4.49,4.49
50000,1,156.05200000000002,0.922245086731287,154.90688147828547,157.19711852171457,6.152,0.05912698199637774,6.078584155132655,6.225415844867345,6.409999999999999,0.03794733192202087,6.362882164124537,6.4571178358754615,8.815999999999999,1.2285536211334043,7.29054919877578,10.341450801224218,6.67,0.0,6.67,6.67
62500,1,114.98600000000002,0.3709231726382161,114.52543805043562,115.44656194956441,8.33,0.0,8.33,8.33,8.696000000000002,0.026532998322843275,8.663054931218126,8.728945068781877,11.8,0.5881156348882417,11.06975798937852,12.530242010621482,9.06,0.0,9.06,9.06
75000,1,89.09,0.31496031496047605,88.69892511605066,89.48107488394935,10.71,0.0,10.71,10.71,11.223999999999998,0.03929376540877674,11.175210346138055,11.272789653861942,14.585999999999999,0.7649732021450161,13.63616031530588,15.535839684694118,11.65,0.0,11.65,11.65
12500,2,2015.172,19.382539978031765,1991.1053979155326,2039.2386020844674,0.9640000000000001,0.008000000000000007,0.9540666880143699,0.9739333119856303,0.992,0.011661903789690611,0.9775198339138251,1.0064801660861749,1.498,0.08930845424706442,1.3871089076261918,1.6088910923738082,1.01,0.0,1.01,1.01
25000,2,739.2819999999999,2.8032723734949396,735.801277616672,742.7627223833279,2.5159999999999996,0.029393876913398165,2.4795026812690004,2.5524973187309987,2.7060000000000004,0.010198039027185614,2.693337462087667,2.718662537912334,3.918,0.7919696963899567,2.9346397403242235,4.901360259675777,2.76,0.0,2.76,2.76
37500,2,419.142,0.633668683146022,418.35519640934837,419.9288035906516,4.67,0.0,4.67,4.67,4.774,0.00800000000000023,4.76406668801437,4.78393331198563,6.614,0.4776860893934424,6.020874380357416,7.207125619642584,4.82,0.0,4.82,4.82
50000,2,283.63199999999995,0.6835320036399049,282.7832829194602,284.4807170805397,6.93,0.0,6.93,6.93,7.05,0.018973665961010525,7.026441082062269,7.0735589179377305,11.309999999999999,3.2447311136672017,7.281134192307822,15.338865807692176,7.17,0.0,7.17,7.17
62500,2,207.272,2.0531965322394297,204.72261978468148,209.8213802153185,9.342,0.1759999999999998,9.123467136316139,9.560532863683862,9.648,0.09620810776644562,9.528541856251096,9.767458143748904,14.169999999999998,3.63288865780387,9.65917294412213,18.680827055877867,10.114,0.7679999999999999,9.160402049379508,11.067597950620494
75000,2,162.11,0.3275362575349516,161.70331002091245,162.51668997908757,12.126000000000001,0.004898979485567122,12.119917113544833,12.13208288645517,12.338000000000001,0.026381811916545924,12.305242653935842,12.37075734606416,16.162,0.6454889619505515,15.360519594708078,16.96348040529192,12.52,0.0,12.52,12.52
12500,3,2538.65,3.479798844760997,2534.3292590534693,2542.970740946531,1.07,0.0,1.07,1.07,1.18,0.0,1.18,1.18,1.746,0.018547236990991423,1.7229705635621329,1.7690294364378671,1.21,0.0,1.21,1.21
25000,3,981.6699999999998,1.8543462459853395,979.3675250261556,983.9724749738441,2.914,0.1520000000000001,2.7252670722730277,3.1027329277269726,3.054,0.00489897948556647,3.047917113544833,3.0600828864551666,4.8759999999999994,1.0489156305442302,3.5735992244000254,6.1784007755999735,3.07,0.0,3.07,3.07
37500,3,562.1279999999999,0.8281883843667455,561.0996682994012,563.1563317005987,5.22,0.0,5.22,5.22,5.336,0.00799999999999983,5.326066688014371,5.34593331198563,7.367999999999999,0.3114739154407637,6.981254052817639,7.75474594718236,5.37,0.0,5.37,5.37
50000,3,378.802,0.746388638713108,377.87523609864166,379.7287639013584,7.552,0.3960000000000001,7.060301056711308,8.04369894328869,7.917999999999999,0.014696938456698755,7.8997513406345,7.936248659365498,11.411999999999999,1.5534271788532603,9.483165398186662,13.340834601813336,7.980000000000001,8.881784197001252e-16,7.98,7.980000000000002
62500,3,278.684,0.6038079164767561,277.9342734482804,279.43372655171964,10.54,0.0,10.54,10.54,10.766,0.02416609194718913,10.735993833651893,10.796006166348107,14.304000000000002,0.23311799587333423,14.01454577719067,14.593454222809335,10.84,0.0,10.84,10.84
75000,3,216.356,0.3350582038989586,215.93997029091585,216.77202970908414,12.745999999999999,0.9847151872495927,11.523314603507698,13.9686853964923,13.863999999999999,0.022449944320643674,13.836124712375376,13.891875287624622,24.663999999999994,9.097141529073845,13.368406876784638,35.95959312321535,13.95,0.0,13.95,13.95
12500,4,3037.804,6.90203911898514,3029.2339865117624,3046.374013488238,1.166,0.01200000000000001,1.1511000320215548,1.180899967978445,1.314,0.004898979485566361,1.3079171135448335,1.3200828864551666,1.932,0.04955804677345546,1.870465557500102,1.993534442499898,1.3400000000000003,0.024494897427831803,1.3095855677241675,1.3704144322758331
25000,4,1173.978,0.5727268109665888,1173.2668657380168,1174.6891342619833,3.3019999999999996,0.04400000000000013,3.2473667840790337,3.3566332159209655,3.408,0.004000000000000093,3.4030333440071847,3.412966655992815,4.564,0.044542114902639936,4.508693659521537,4.619306340478463,3.4300000000000006,4.440892098500626e-16,3.43,3.430000000000001
37500,4,673.67,0.25219040425836226,673.3568642543399,673.98313574566,5.72,0.0,5.72,5.72,5.938000000000001,0.00400000000000027,5.933033344007185,5.942966655992816,8.361999999999998,0.4491503089167366,7.804306231635986,8.91969376836401,5.99,0.0,5.99,5.99
50000,4,453.88800000000003,0.22238704998268097,453.61187000636977,454.1641299936303,8.5,0.0,8.5,8.5,8.81,0.006324555320336624,8.80214702735409,8.81785297264591,12.038,0.13075167302944882,11.875650354894423,12.200349645105577,8.9,0.0,8.9,8.9
62500,4,333.63,0.1117139203501466,333.49128884700303,333.76871115299696,11.56,0.0,11.56,11.56,11.988000000000001,0.003999999999999915,11.983033344007186,11.992966655992817,15.937999999999999,0.43540326135664204,15.397375445672951,16.478624554327048,12.08,0.0,12.08,12.08
75000,4,259.42600000000004,0.07227724399837031,259.33625594823786,259.5157440517622,14.87,0.0,14.87,14.87,15.416,0.004898979485566252,15.409917113544834,15.422082886455167,19.812,0.16191355718407258,19.610957765223432,20.01304223477657,15.55,0.0,15.55,15.55
12500,6,3699.942,8.079094998822585,3689.910478601894,3709.973521398106,1.1920000000000002,0.11320777358467925,1.0514339832231006,1.3325660167768998,1.6219999999999999,0.003999999999999915,1.617033344007185,1.6269666559928149,3.4579999999999997,1.0449191356272503,2.1605615282574444,4.755438471742555,1.8199999999999998,2.220446049250313e-16,1.8199999999999996,1.82
25000,6,1432.7900000000002,1.7375730200483186,1430.632518136756,1434.9474818632443,3.5099999999999993,4.440892098500626e-16,3.509999999999999,3.51,4.186,0.004898979485566687,4.179917113544833,4.192082886455167,5.068,0.0760000000000001,4.973633536136513,5.162366463863486,4.65,0.0,4.65,4.65
37500,6,823.472,0.2685814587792667,823.1385120720487,823.8054879279513,6.12,0.0,6.12,6.12,7.284000000000001,0.004898979485566252,7.277917113544834,7.290082886455167,10.058,1.5418093267327186,8.143590866901196,11.972409133098804,8.13,0.0,8.13,8.13
50000,6,554.756,0.3256132675429749,554.3516977283543,555.1603022716456,9.09,0.0,9.09,9.09,10.816,0.004898979485566252,10.809917113544834,10.822082886455167,13.796000000000001,1.3473618667603742,12.123029277491025,15.468970722508978,12.08,0.0,12.08,12.08
62500,6,408.376,0.11976643937263064,408.22729032403794,408.524709675962,11.998,0.7239999999999995,11.099035265300474,12.896964734699525,14.693999999999999,0.004898979485566252,14.687917113544833,14.700082886455165,21.714,5.984729233641235,14.282977171590058,29.14502282840994,16.41,0.0,16.41,16.41
75000,6,317.774,0.10499523798726326,317.6436311930084,317.9043688069916,15.892000000000001,0.003999999999999915,15.887033344007186,15.896966655992816,18.880000000000003,0.008944271909998969,18.86889421957921,18.891105780420794,22.7,1.0482747731391804,21.39839495396786,24.00160504603214,21.11,0.0,21.11,21.11
